Timestamp,Model_Path,ROUGE-L_Mean,ROUGE-L_Std
20260413_233635,Qwen/Qwen3-0.6B-Base,0.1977,0.1171
20260414_005108,Qwen/Qwen3-0.6B-Base,0.2035,0.1167
20260414_005207,Qwen/Qwen3-0.6B-Base,0.1709,0.1038
20260414_005259,Qwen/Qwen3-0.6B-Base,0.2060,0.1168
20260414_005344,Qwen/Qwen3-0.6B-Base,0.1690,0.0957
20260414_005435,Qwen/Qwen3-0.6B-Base,0.2320,0.1050
20260414_005519,Qwen/Qwen3-0.6B-Base,0.0924,0.0559
20260414_005640,Qwen/Qwen3-0.6B-Base,0.2104,0.1160
20260414_005724,Qwen/Qwen3-0.6B-Base,0.2025,0.1167
20260414_005810,Qwen/Qwen3-0.6B-Base,0.1661,0.1003
20260414_005859,Qwen/Qwen3-0.6B-Base,0.1977,0.1171
20260414_005946,Qwen/Qwen3-0.6B-Base,0.2030,0.1252
20260414_010031,Qwen/Qwen3-0.6B-Base,0.1661,0.1021
20260414_010125,Qwen/Qwen3-0.6B-Base,0.1996,0.1147
20260414_010211,Qwen/Qwen3-0.6B-Base,0.1979,0.1154
20260414_010257,Qwen/Qwen3-0.6B-Base,0.1966,0.1086
20260414_010344,Qwen/Qwen3-0.6B-Base,0.1922,0.1159
20260414_010429,Qwen/Qwen3-0.6B-Base,0.1918,0.1112
20260414_010516,Qwen/Qwen3-0.6B-Base,0.1941,0.1161
20260414_010602,Qwen/Qwen3-0.6B-Base,0.2251,0.1154
20260414_010646,Qwen/Qwen3-0.6B-Base,0.1986,0.1126
20260414_010733,Qwen/Qwen3-0.6B-Base,0.1647,0.1087
20260414_010823,Qwen/Qwen3-0.6B-Base,0.2045,0.1144
20260414_010909,Qwen/Qwen3-0.6B-Base,0.2054,0.1152
20260414_103344,Qwen/Qwen3-0.6B-Base,0.1284,0.0799
20260414_103915,Qwen/Qwen3-0.6B-Base,0.2300,0.0954
20260414_105120,Qwen/Qwen3-0.6B-Base,0.1889,0.1001
20260414_110135,Qwen/Qwen3-0.6B-Base,0.2280,0.1113
20260414_125735,sft_output,0.3650,0.1451
20260414_143658,sft_output,0.3867,0.1473
20260414_183125,sft_only_lora_merged,0.3284,0.1474
20260414_202420,sft_output_lora_merged,0.3816,0.1526
20260414_210025,try_merged,0.3844,0.1538
20260415_124514,sft_output,0.3845,0.1508
20260415_124618,sft_output,0.3867,0.1473
20260415_125117,sft_output,0.3782,0.1494
20260415_145747,sft_output,0.3880,0.1476
20260415_172138,sft_summary_lora,0.3464,0.1465
20260415_173317,sft_summary_lora,0.3430,0.1445
